,gene_id,AE0,AE1,PCA0,PCA1,UMAP0,UMAP1,tSNE0,tSNE1
7707,IQCD,1.1021289825439453,1.5839776992797852,-2.806471976,-0.442520959,1.1814188,6.162114,32.827293,64.65706
7708,IQCE,-3.351196051,-5.789417744,2.298828766872076,-0.368305448,9.255338,8.155001,-33.776524,-17.623728
7709,IQCG,-1.69035244,-4.374143124,0.3342978651184888,-0.052392932,5.903266,10.304759,-52.668728,28.186184
7710,IQCH,1.5684444904327393,-2.555715084,-1.640417773,0.069412444,2.1778588,9.391957,-12.2549715,56.12581
7711,IQCH-AS1,0.6902140974998474,-3.748011112,-1.023173351,0.10962794560025856,3.0981016,10.140106,-24.396599,60.857452
7712,IQCJ-SCHIP1,1.3331077098846436,-4.745050907,-0.666535605,0.517192439,3.9553542,10.745247,-46.12214,49.74704
7713,IQCJ-SCHIP1-AS1,1.9989023208618164,10.21250057220459,-4.472161739,0.040904360963551885,-1.0154319,2.742907,63.700356,13.27919
7714,IQCK,-0.456121445,-3.01723218,-0.916967439,-0.316951376,3.5315986,9.749856,-31.097727,49.44167
7715,IQCM,3.4391114711761475,17.460861206054688,-5.092191106,0.5198016740723563,0.29171142,1.4743516,41.751728,-17.217207
7716,IQCN,-2.304155827,0.4268593490123749,-1.718254642,-1.217558925,2.3100433,8.335583,5.6299934,66.11183
7717,IQGAP1,-6.690273762,-10.59376335,8.557642541,-0.109648785,11.123234,-0.85927683,68.5247,-52.89561
7718,IQGAP2,-4.192838192,-4.353405952,1.951059780914998,-0.893574687,8.5331135,7.45897,-8.298188,-10.53489
7719,IQGAP3,-0.554037452,-9.057019234,2.453397026417258,1.1145485308400271,11.324347,9.232305,-19.114967,18.578365
7720,IQSEC1,-5.179421902,-5.990870476,3.8693746185477793,-0.763839747,10.741641,5.0320797,1.8963101,-35.475643
7721,IQSEC2,-2.225558519,-4.896959305,0.9103217384221504,-0.280621099,7.30865,9.987299,-49.348938,9.1440525
7722,IQSEC3,-0.420042008,2.5775797367095947,-3.067617207,-0.760001652,1.153054,6.9847493,43.130314,53.266735
7723,IQUB,-4.664167881,6.8003997802734375,-3.209004931,-0.641314469,1.7120333,5.711043,36.28185,69.221405
7724,IRAIN,3.898261547088623,3.650953769683838,-3.521299914,0.080035245,-0.25274464,5.640261,28.624107,35.82937
7725,IRAK1,-4.113090038,-8.925587654,5.019915882337847,0.3586131168027084,12.020804,2.4753666,36.47111,-57.103664
7726,IRAK1BP1,-0.126599804,-3.892380953,-0.709230004,-0.172095805,3.8705812,10.005162,-35.52152,50.393272
7727,IRAK2,-1.611676693,-4.086851597,0.068345089,-0.212415133,6.0069942,10.098785,-52.983116,30.547653
